2akf:B:B1	B_B D452 E456
3nvo:A:A1_A2_A3_A4	A_A D131 H159:A_A H168 C246:A_A C94 H159:A_A G1 H2 E115
2pli:A:A1_A2	A_A E26 D42:A_A H54 E60
1e7l:A:A1	A_A C23 C26 C58 C61
2uur:A:A1	A_A D190 D192
8avz:A:A1	A_A C236 H238
4o6s:A:A1	A_A D72 H74
7zhg:C:C1_C2	C_C C32 C35 C55 C58:C_C C14 C43 C46
6k02:B:B1	B_B H52 E55
7wjl:A:A1	A_A H195 D233 H235
3vk6:A:A1_A2_A3	A_A C67 H80 H85:A_A C4 C7 C25 C28:A_A C20 H22 C40 C43
2anu:A:A1_A2_A3_A4	A_A H13 H15 E97 D193:A_A D20 H45 H195:A_A D142 D193:A_A E97 H106
3iu6:A:A1	A_A H751 E798
1llm:C:C1_C2	C_C C106 C109 H122 H126:C_C C134 C137 H150 H155
3vuv:A:A1_A2_A3	A_A H249 Y356:A_A E254 H257:A_A H316 E319
5k8c:A:A1	A_A D194 H258 H272
3kew:A:A1	A_A H96 H100 C193
4do7:A:A1	A_A H11 D244
1vzy:A:A1	A_A C235 C237 C268 C271
3w0t:A:A1_B1	A_A Q33 E99:A_B H126 E172
5cgz:A:A1	A_A H14 D17 E48 H127
5chu:B:B1	B_B S3 E5 E361
5br4:A:A1	A_A D196 H200 H263 H277
2fea:A:A1	A_A C139 C143 C147 C150
7qcd:D:D1_D2	D_D C271 C274 H275 K276 H306:D_D C289 C321 R323 C324
5zhv:A:A1_A2	A_A H16 E30 H34:A_A H12 H34
5ld9:A:A1	A_A H88 H90 D101
2j7j:A:A1_A2_A3	A_A C4 C9 H22 H26:A_A C34 C39 H52 H56:A_A C61 C67 H80 H85
3qdf:A:A1_A2	A_A E117 E119 D148:A_A E187 H199
4j1v:A:A1	A_A C79 C84 H161 H166
4u8u:d:d1_d2	d_d H64 D90 H94:d_d H142 H144
4dgu:A:A1	A_A E175 E194
7zqy:B:A1	B_A C691 C694
2i9w:A:A1_A2	A_A C8 C10 C28 C29:A_A C167 C169 C178 C179
3li2:A:A1_A2	A_A H266 D270:A_A D248 H251
4wk7:A:A1	A_A H361 H365 H371
4wok:A:A1	A_A E184 H186 E189 H191
7dvq:v:v1	v_v C44 H62 H68
4nef:A:A1	A_A C75 H80
3qc0:A:A1	A_A E141 D176 H203 E247
4d7v:A:A1	A_A H1 H83
5cuo:B:B1_B2	B_B H157 H159 H204:B_B H48 H50 E109
3cnq:S:S1_S2	S_S A169 Y171 V174:S_S H39 P40 D41
3fid:A:A1_A2_A3_A4_A5	A_A S1 D44:A_A S1 Y41 H43:A_A H54 H84 D104:A_A H25 D29:A_A D10 T34
5t57:A:A1	A_A H114 E184
5yuf:A:A1_A2	A_A C57 C60 C77 C80:A_A C72 H74 C88 C91
1taf:B:B1	B_B E31 D35
9c4g:z:z1	z_z C30 C35 C45 C48
2ob3:A:A1_A2	A_A H55 H57 K169 D301:A_A K169 H201 H230
7ef0:A:A1	A_A C198 H232 C237 C239
3zbv:A:A1	A_A D41 H82
2p57:A:A1	A_A C26 C29 C46 C49
7xg0:A:A1	A_A C30 H32 C33 C69
4ymk:A:A1_A2	A_A H116 H121 H153 H157 H297:A_A H156 H265 H294 H298
4mvt:A:A1	A_A C343 H345 C366 C369
7dnr:A:A1	A_A H466 H467
3vqj:A:A1	A_A C44 H97 C100
5mtm:B:B1	B_B E40 D43
8s1p:0:01	0_0 C30 C33 C43 C46
7pcv:A:A1	A_A C96 C99 C110
3tkk:A:A1	A_A A37 D182 H184 E198
6mj7:A:A1_A2	A_A C128 C131 C151 C154:A_A C142 C145 H160 H163
2y43:A:A1_A2	A_A C41 H43 C60 C63:A_A C25 C28 C46 C49
4hvl:A:A1_A2_A3	A_A H155 T156 E203:A_A D37 H190:A_A H123 S334
2yc5:A:A1	A_A E121 E191
7xv9:A:A1_A2	A_A C117 C120 C134 C137:A_A C153 C159 C169 C172
3g0z:A:A1	A_A D50 E52 D240
5zg2:A:A1	A_A E452 H456
7vsb:A:A1	A_A D10 D70 H124
4q8g:B:B1	B_B C660 H662 C713 C716
7e34:B:B1	B_B C92 K94
2x98:A:A1_A2	A_A D304 H308 H435:A_A D56 D346 H347
5kzz:A:A1_A2	A_A E149 E154:A_A K47 D73
4d1l:F:A1	F_A E337 Y339
1kys:A:A1	A_A V68 E222
9fym:A:A1_A2	A_A E140 C157 C198 C201:A_A H121 C153 E189
1a7w:A:A1	A_A E34 D38
8s6z:C:C1	C_C H38 E46
7dh8:A:A1_A2	A_A H98 C109 H117 E132:A_A C124 C127 C164 C167
2az4:B:B1_B2	B_B H92 H94 H167 D189:B_B D96 H97 D189 H404
4ub9:A:A1	A_A H282 H302
3pb6:X:X1	X_X D186 E226 H351
5d88:A:A1	A_A C68 H189
6cdb:A:A1	A_A H97 H100
3rmq:A:A1	A_A H14 C33 C56 C59
1pl8:A:A1	A_A C44 H69 E70
1v4p:C:C1	C_C H9 H13 C116 H120
3t9o:A:A1	A_A H22 H79 H83
5aws:A:A1_A2_A3	A_A E589 D672:A_A E622 H623:A_A D558 H601
1t4w:A:A1	A_A C307 H310 C361 C365
2xoc:A:A1_A2_A3_A4_A5	A_A C428 C431 C476 H482:A_A C485 C488 C518 C524:A_A C487 C524 C529 C532:A_A C510 C513 C601 C604:A_A C635 C641 H649 H655
8cn6:F:F1	F_F Q34 E56
2hf9:A:A1	A_A H100 H104
5vh5:A:A1	A_A H313 H438
2p6y:A:A1	A_A H75 H77 H91
1xx4:A:A1	A_A H107 E110
2x4h:C:B3_B4_C1_C2	C_B E14 E50:C_B E49 H53:C_C H84 E88 C102:C_C E88 C130 H132
9c4g:w:w1	w_w C5 I7 C8 C50 C53
7o4j:4:41	4_4 C289 C292 C305
4fm7:A:A1	A_A H396 H398
7a1q:A:A1	A_A H199 D201 H279
1yn4:A:A1	A_A H45 E68
1cjv:C:C1	C_C R42 E209 H220
3wi9:A:A1_A2	A_A H42 H83:A_A H42 H83
4oy6:A:A1	A_A H145 Q147
5f0p:B:B1	B_B E167 H175
8tru:A:A1_A2	A_A G488 D491 E492:A_A H159 E360
4zpj:A:A1_A2	A_A D227 H232:A_A E343 E346
1mwq:A:A1	A_A H0 E66
6x38:A:A1_A2	A_A H745 H747 D796:A_A H745 D766
7f4g:R:R1	R_R C100 C105 C140
7qgj:A:A1	A_A C220 C223 H240 C247
1yj0:A:A1	A_A H94 H98
5fnp:A:A1_A2	A_A H129 E133 H160 E208:A_A H84 E133 H204 E208
5fgw:B:B1	B_B H51 H56
3e38:B:B1_B2_B3	B_B E113 H122 H157:B_B H44 H46 E113 D214:B_B D51 H76 H216
3pe8:A:A1	A_A E105 H125
8j49:A:A1_A2	A_A C63 C68 C85 H88:A_A C104 C107 H111 C123
6v6f:A:A1	A_A H49 C55
4bol:A:A1	A_A H42 H153 D163
3byw:C:C1	C_C D66 H189
4zr1:B:B1_B2	B_B H271 H326 H330 H345 H349:B_B H244 H249 H268 H272 H348
4ay7:A:A1	A_A H240 C242
5nl9:A:A1	A_A H36 D84 H90 H92 D103
4a7u:A:A1	A_A H63 H71 H80 D83
8wfo:B:B1_B2	B_B H188 D189:B_B D128 S130
5yz4:A:A1	A_A C132 H134 C142
3qqc:A:A1_A2	A_A C161 C208:A_A C8 C26 C29
8fjm:A:A1	A_A C69 C72 C77 C79
6mm1:D:D1_D2_D3_D4	D_D C426 C428 H491 H535:D_D C494 C497 H520 C523:D_D C446 C459 C481 H484:D_D C509 H517 C533 C536
7cq3:A:A1_A2	A_A C218 C221 H251 C254:A_A C241 C246 C279 C282
6hih:B:B1	B_B E68 H71
4a0x:A:A1_A2_A3_A4	A_A E64 E75:A_A H134 H163:A_A E31 H174:A_A H30 D34
6dch:A:A1	A_A H132 D134 H295
2i2x:A:A1_A2	A_A E164 C220 C269:A_A H318 E320
6zu8:A:A1	A_A E167 C186
3c8z:A:A1	A_A C43 C231 H256
1t9h:A:A1	A_A C252 C257 H259 C265
6rp4:D:D1	D_D L419 M420
7xmw:B:B1	B_B C4 C7 C46 C49
5yiq:A:A1_A2	A_A H86 E102:A_A E97 E100
2j4x:A:A1	A_A H170 H200 D202 F209
2hsi:B:B1	B_B H180 D184 H259 H261
4esn:A:A1	A_A C75 C80 C95
3tas:B:B1	B_B E158 H159
5yox:A:A1	A_A H61 H89 D90 D159
5znt:A:A1	A_A D206 H261 H265
7zvy:A:A1	A_A H46 E51 H85
3qzc:B:B1_B2	B_B E141 D145:B_B E77 E105
2gyq:A:A1_A2	A_A E26 Q59 E117 E147:A_A H52 E114
7of0:0:01	0_0 C110 C123
7drj:A:A1_A2	A_A D57 D60 D78:A_A D57 D78 D82
2zum:A:A1_A2_A3_A4_A5	A_A E201 E342:A_A H76 E108:A_A D321 H325:A_A H62 C372 D373:A_A H349 D400
6aem:A:A1	A_A H26 E28
3hft:A:A1	A_A D45 H91 H126
1ycg:A:A1	A_A H271 D275
2qfa:A:A1	A_A C57 C60 H77 C84
8cc3:A:A1	A_A D70 D185
2izo:C:C1	C_C E234 H240
3u9g:A:A1_A2_A3_A4	A_A C73 C78 C82 H86:A_A C88 C96 C106 H110:A_A C150 C162 C168 H172:A_A C174 C182 C187 H191
1ia9:B:B1	B_B H1751 H1808 C1810 C1814
3eob:I:I1	I_I S139 S141 D239
7yka:B:B1	B_B E37 W40
1z84:A:A1_A2	A_A C63 C66 H133 H184:A_A C216 C219 H255 H310
6v4v:A:A1	A_A E27 H104
8bed:R:R1	R_R C72 H82 C97 C100
1mkm:A:A1	A_A D186 C196
5uam:A:A1	A_A H208 H264 C266 H278
3aj3:A:A1_A2	A_A D100 H101 D207 H252:A_A H96 H98 H185
5czw:A:A1	A_A C28 H142 H146 H152
2j9u:B:B1	B_B C120 C123 C143 C146
5hee:A:A1_A2	A_A H10 H48 D222:A_A E198 E202
4gel:B:B1	B_B C63 H67 C83 C88
8jws:A:A1_A2_A3	A_A C33 C36 H58 C61:A_A C98 C101 H120 C123:A_A C110 C115 C141 H144
4fvk:A:A1_A2	A_A E386 T388:A_A W154 E156
1gzh:D:A1	D_A D1968 Y1969
1kl9:A:A1	A_A H154 D158
1xah:A:A1	A_A E178 H242
6bd4:A:A1	A_A C1006 C1009 C1039
7ygw:A:A1_A2_A3	A_A D104 D108 F110 E115:A_A D140 D142 D144 K146 E151:A_A H129 K133
2hek:A:A1	A_A H54 D161
2iqj:B:B1	B_B C28 C31 C48 C51
7fis:A:A1_A2	A_A D149 H219:A_A E92 C126 H139
3wwq:F:F1	F_F C147 C150 H166 C170
4hi8:B:B1_B2	B_B C10 C13 H32 C35:B_B C38 C41 C59 D62
1i6n:A:A1	A_A E142 D174 H200 E246
3fju:B:B1	B_B E37 H38
5bz0:A:A1	A_A C180 C182 C214 C217
1pq4:B:B1	B_B H83 H179 H243
7dg7:A:A1	A_A K22 D71 E74
6rd5:M:M1	M_M H248 H252
6y75:A:A1	A_A N-4 H48 H125
2rkn:A:A1_A2	A_A E11 H37:A_A E11 H37
4ccg:X:X1_X2	X_X C307 C310 H334 C337:X_X C324 C329 C359 C362
7uba:A:A1_A2	A_A C339 C342 C362 C365:A_A C323 C325 H347 C350
7p99:A:A1	A_A C361 C364 C397 C400
2yhg:A:A1	A_A H723 D816
4lqx:B:B1	B_B C4 C7 H20 H33
3mi9:C:C1_C2	C_C C22 H33 C34 C37:C_C C25 C30
6trk:A:A1	A_A E93 H105
3mdu:A:A1	A_A H56 H58 H232 D320
7gqu:A:A1	A_A C908 C935 C936 C939
5ubg:A:A1_A2	A_A H33 H35:A_A D55 D56
5n6f:A:A1	A_A C318 C320 C323 H349
5txu:A:A1	A_A H134 C140 H145 C146
3kjh:A:A1	A_A C112 C114
4esj:A:A1_A2	A_A C34 C37 C56 C59:A_A E2 H4
4nfs:A:A1_A2	A_A C46 H67 C174:A_A C97 C100 C103 C111
3iab:B:B1_B2	B_B H26 H30:B_B H26 H30
4cn9:A:A1_A2	A_A S62 S64 D173:A_A E48 D50 H445
6y8l:A:A1	A_A D51 D55
3alr:C:C1_C2	C_C C92 C95 H108 C119:C_C C127 C130 H138 C143
5tkm:A:A1	A_A H66 C97 C100
6e0a:B:B1	B_B H70 E167
3dza:C:C1	C_C D108 E214
7oqy:Y:Y1_Y2	Y_Y C4 C7 C20:Y_Y C63 C66 C83
3lcn:B:B1	B_B E46 D50
7dbu:A:A1_A2	A_A D92 D98 D161 D163:A_A D169 E170
6c0d:A:A1	A_A H81 D92 H188
3fav:B:B1	B_B H26 D30
3guw:A:A1_A2	A_A H6 H8 E98 D207:A_A H129 H160
3b4r:A:A1	A_A H54 H58 D148
2pw6:A:A1	A_A H22 H57 H234
2ze7:A:A1	A_A D173 H214
6j4b:A:A1	A_A H64 E68 H107
2dge:A:A1	A_A D74 E159
8tjg:A:A1	A_A C225 C228 C245 C248
6on4:A:A1	A_A D172 H176 H222 H244
5opz:A:A1	A_A H69 D76 H124
8acv:A:A1	A_A H164 H259
4qvu:A:A1	A_A H152 C177 E180
1ym3:A:A1	A_A C51 D53 H104 C107
6t4d:A:A1	A_A C306 D309
3byr:A:A1_A2_A3	A_A H31 H47 E84:A_A H82 E84:A_A D32 H47
9fhl:a:a1_a2	a_a C38 C61 C64:a_a C21 C24 D53
4ics:A:A1_A2	A_A E319 H381 D383:A_A E253 E319 H348
1jcc:C:C1	C_C S1 D7
8wex:B:B1	B_B C47 C79 C82
2q5b:A:A1	A_A D44 D45
6ekb:A:A1_A2_A3	A_A C72 C75 C118 C121:A_A C83 C86 C107 C110:A_A E78 C80 E115
3rpc:A:A1_A2	A_A H69 H71 H129 D165:A_A D73 H74 D165 H223
1x6m:A:A1_A2	A_A C33 C35 C101 C104:A_A C54 C56 C59
7oso:A:A1_A2_A3	A_A D140 E141:A_A D52 D54 D56:A_A H305 D317
1hxr:B:B1	B_B C23 C26 C94 C97
7ysi:A:A1_A2	A_A C5 C8 C25 C28:A_A H-1 E16
5fi3:A:A1_A2	A_A C54 H76 E77 C162:A_A C107 C110 C113 C121
2wt9:A:A1	A_A D54 H56 H89
7t5t:A:A1	A_A H96 H100 C113 E129
8a8g:A:A1	A_A C322 C325 C334 H336
6c4v:A:A1	A_A E1437 D1441
7y7o:A:A1	A_A H120 H124 H130
2r2v:C:C1	C_C H19 E23
8v4j:A:A1	A_A H64 E68 H183
7bj9:A:A1	A_A D120 C221 H263
6sp0:A:A1	A_A C386 C389 H404 H408
5uiw:A:A1	A_A C1006 C1009 C1039 C1042
2vz5:A:A1	A_A E62 E67
1f3z:A:A1	A_A H75 H90
2cdc:A:A1_A2	A_A C39 H66 E67:A_A C93 C96 C99 C107
5zzu:B:B1	B_B Q294 T297 A299 A518
8rhf:A:A1_A2_A3	A_A E197 D201:A_A H61 H64:A_A H63 H65 E69 D82
1snn:A:A1	A_A E26 H164
5dmm:A:A1_A2	A_A C229 C295:A_A D138 H140
5w83:B:B1	B_B E48 H109 H111 D122
6slf:A:A1_A2	A_A H107 H168:A_A C105 E141 H370
5k8p:D:D1	D_D H86 N124 E196
6pjv:A:A1	A_A H140 D147 E176 H182
7zhg:R:R1	R_R C16 H24 C77
5gof:A:A1	A_A C111 H144 H147 C156
6pst:N:N1	N_N C37 C58
2xqc:D:D1	D_D H67 H69
6vda:A:A1	A_A H234 D250 E288 E294
4nt5:A:A1	A_A D2746 H2748
1ltl:E:E1	E_E C132 C135 C154 C157
6l5t:A:A1	A_A C180 C183 C209 H211
6iv5:A:A1	A_A H13 H15 H217 D295
5k3q:A:A1_A2	A_A C97 H100 C116 C119:A_A C108 D111 H125 H128
8qtg:A:A1_A2	A_A C373 C376 C393 C396:A_A C388 H390 C408 C411
6dnw:A:A1	A_A C274 C277 C302
5elk:A:A1_A2_A3	A_A C221 C234 H238:A_A C257 C272 C278 H282:A_A C299 C308 C314 H318
6dnl:A:A1_A2_A3_A4	A_A H19 D21:A_A D31 D62:A_A D27 C36:A_A C33 C36
8v1j:A:A1_A2_A3_A4	A_A C37 C66 C69 H141:A_A C51 C54 C79 C84:A_A H89 C93 C122 C125:A_A C107 C110 C135 C140
3rpd:A:A1	A_A H221 C223 C322
5gvi:A:A1	A_A C230 C233 C280 C283
1dk4:A:A1_A2	A_A D81 D84 D201:A_A E65 D81 I83
7yh3:D:D1	D_D C100 C103 C117
5k9g:A:A1	A_A C147 H159
5d1m:B:B1_B2	B_B C135 C138 H158 C161:B_B C153 H155 C198
5tg0:A:A1	A_A H56 H58 E62 H96
4yrd:A:A1	A_A H288 E295 H337
5ic5:A:A1_A2_A3	A_A H162 H165:A_A E23 E152 H164 H166:A_A E16 H161 H163
1zde:A:A1	A_A H58 D150 C170
3rq4:A:A1	A_A C185 C229 C231 C234
4ayc:A:A1_A2	A_A C418 H420 C437 C440:A_A C403 C406 C423 C426
8vms:A:A1_A2	A_A C125 C132 H134 C138:A_A C41 C100 C105 H110
4r25:A:A1	A_A K12 E71
2bnm:A:A1	A_A H138 E142 H180
3k34:A:A1	A_A H94 H96 H119
4mi0:A:A1_A2_A3_A4_A5_A6	A_A C566 C580 C588 C601:A_A C560 C573 C580 C585:A_A C560 C562 C566 C571:A_A C530 C543 C549 C553:A_A C523 H525 C530 C534:A_A C523 C536 C543 C547
6vd8:A:A1_A2_A3	A_A D235 H237:A_A H234 H251 E286:A_A H273 E279
6su5:A:A1	A_A H30 H132 C140
8dgd:A:A1	A_A H-2 D13
9bz0:J:J1	J_J C7 C10 C45
3icj:A:A1_A2	A_A H99 H101 K294 D432:A_A K294 H346 H371
2ein:L:L1	L_L H2 E5
6mf4:A:A1	A_A E553 H569 H609
3cao:A:A1	A_A E26 E29
8wwd:A:A1_A2_A3_B1	A_A C83 C86 C89 C97:A_A D308 D312:A_A C37 H59 E60:A_B H-8 H-5
4mko:B:B1	B_B D266 H268
5trb:A:A1_A2	A_A C922 C925 C942 C945:A_A C937 H939 C957 C960
1tjl:A:A1	A_A C114 C117 C135 C138
6oad:A:A1_A2	A_A K195 D218 E279:A_A D200 D277 E279
1au1:B:B1	B_B H93 H97
3rfr:C:C1_C2	C_C D129 H133 H146:C_C D93 H177
2iyb:E:E1_E2_E3	E_E C361 C364 H383 C388:E_E C391 C394 C412 C416:E_E E387 C397
5zrt:A:A1	A_A C33 C36 C67 C70
3ij6:A:A1	A_A H10 H160 H204 D262
4ebb:A:A1	A_A H451 E453
6h87:A:A1_A2_A3	A_A H236 E289:A_A H264 E268:A_A H264 C267
6u61:A:A1	A_A H83 E131
6ot4:A:A1_A2	A_A A1 D39:A_A H8 D12
2gpy:B:B1_B2_B3	B_B D144 H194:B_B E29 E93 H97:B_B H48 K51
1i3j:A:A1	A_A C151 C153 C164 C167
4j44:A:A1	A_A C200 C203 H220 C227
5m3k:E:E1	E_E C34 C37 C48 C51
4o5o:B:A1	B_A H-5 H-3
3h7h:A:A1	A_A C16 C19 C33 C36
2h6e:A:A1_A2	A_A C41 H65 D150:A_A D94 C97 C100 C108
1dy1:A:A1	A_A H132 H134 H142 D207
7zob:E:E1	E_E C53 C88 C91
6ohb:A:A1	A_A H82 H84 H237 D327
2nly:A:A1	A_A D40 H86 H133
7bf0:A:A1	A_A C447 H499 C509
5ywr:B:B1_B2_B3	B_B C184 C187 H207 C210:B_B C145 C148 H160 C164:B_B C202 C204 C221 H224
3h3e:A:A1	A_A H57 H59 H170
2gu1:A:A1	A_A H232 D236 H313
1j98:A:A1	A_A H54 H58 C126
9esi:M:M1_M2	M_M C23 C26 C80 C83:M_M C44 C47 C70 C73
6tly:A:A1_A2_A3	A_A C580 H584 C620 C623:A_A C601 C604 C628 C631:A_A C644 C647 H660 C664
9dby:M:M1	M_M C27 C41
5kef:B:B1	B_B H58 E60
9c0o:A:A1_A2_A3	A_A C65 C70 H85:A_A C77 C80 C104 C107:A_A H98 R119
1fr2:B:B1	B_B H102 H127 H131
4zya:B:B1	B_B E39 H71
1r61:A:A1	A_A D51 H155 E167
5hh7:A:A1_A2	A_A C169 C172 H191 C194:A_A C183 C186 C212
6zus:A:A1	A_A H-1 H136 Q140
5ch8:A:A1_A2	A_A D237 D239:A_A D8 E43
2yv5:A:A1	A_A C257 H259 C265
7oje:A:A1	A_A C227 C230 H246 H250
4ntl:A:A1_A2	A_A E41 D45:A_A D74 H78 E80
8p5q:A:A1	A_A H61 C65 C77 C79
9fss:W:Z2	W_Z V376 Y377
1q74:A:A1	A_A H13 D16 H147
4jiv:D:D1	D_D H14 H46 H54 C81
5gt1:A:A1	A_A H395 D399 H475
2e6l:A:A1	A_A D76 E78 D210
1q9u:B:B1_B2_B3	B_B E61 R118:B_B E38 E42:B_B E17 E20
1vli:A:A1	A_A H214 H236
8snk:A:A1	A_A D184 H186 D277 D279
2a5h:B:A1	B_A C375 C377 C380
6j98:A:A1_A2	A_A E7 E14 K18:A_A D35 E39
5wuq:C:C1	C_C H30 C34 C37
2cua:B:B1	B_B H117 E119
6gqd:A:A1	A_A E202 H301 H319 H321
6vhf:A:A1	A_A C378 C451 C456 H459
6eke:B:C1	B_C D11 D13
2ejc:A:A1_A2_A3_A4_A5_A6	A_A E8 E97:A_A E16 E19:A_A H142 E169:A_A E221 E254:A_A C117 D240:A_A Q61 E66 H124
8orl:A:A1	A_A H41 E83
2xc2:A:A1	A_A E3 H20
9bz0:c:c1	c_c C567 C585 H588
3cng:C:C1	C_C C4 C7 C26
6cvq:A:A1	A_A C319 C322 H335 H339
3m4g:F:F1	F_F H5 D9
5gpo:B:B1	B_B H72 D76
4u9b:A:A1	A_A C139 H161 C164 C172
4gxw:A:A1	A_A H34 H36 H215 D300
1se0:A:A1	A_A C80 C83 H100 C107
8g46:B:B1	B_B C100 C103 C177 C179
4z1d:A:A1	A_A C18 H204 E241 D252
7k95:A:A1_A2	A_A C124 C132 C138 H142:A_A C148 C156 C162 H166
5hda:A:A1_A2	A_A C534 C535 H554 C558:A_A C523 C526 C541 C545
1pzw:A:A1	A_A C4 C7 C56
1bp3:A:A1	A_A H18 E174
1oi0:A:A1	A_A H70 H72 D83
2rag:A:A1_A2	A_A H53 D55 E159:A_A E159 H229 H250
2vu4:A:A1	A_A H144 D165
1d8w:A:A1	A_A E234 D267 H294 D334
8qbn:W:W1	W_W C300 H303 H320 C322
6sqp:A:A1_A2	A_A C438 C441 C461 C464:A_A H452 H457 C475 C478
3hn8:A:A1	A_A D419 H543 E546
5xn9:A:A1	A_A E127 H138
7dcn:A:A1	A_A C145 C148 C155 H161
8ohy:A:A1	A_A E230 H263
6mlc:B:A4_A5_B1_B2	B_A C1057 C1060:B_A C1069 C1078 C1081:B_B C1087 C1090 H1111 C1114:B_B C1103 C1106 C1133 C1136
6fc3:B:B1	B_B H39 E44
2qh0:A:A1	A_A H7 E54 H77 E126
3q87:A:A1	A_A C11 C14 C102 C105
2wxu:A:A1	A_A W1 H11 D130
2zc2:B:B1	B_B E129 E132
5olm:B:B1_B2_B3_B4	B_B C16 C19 C36 C39:B_B C31 H33 C51 C54:B_B C92 H95 C111 C114:B_B C103 D106 H120 H123
3ce1:A:A1	A_A H67 H75 H84 D87
2gc1:A:A1_A2	A_A H88 H90 E97 H136:A_A D143 E144
8sbm:B:B1_B2	B_B H507 D529 E537:B_B D520 D522 C524
4naz:A:A1	A_A H66 E115
6os6:A:A1	A_A H49 D50
6ty0:A:A1	A_A C64 C67 C92 C95
7et9:A:A1	A_A E151 D177
8oqj:B:B1	B_B D323 H327
1xer:A:A1	A_A H16 H19 H34 D76
4z65:A:A1_A2	A_A H69 E72 H197:A_A E85 E292
3dgd:A:A1_A2_A3	A_A H31 D74:A_A C10 H56:A_A H88 H90 E92
6id1:U:U1	U_U C675 C678 H718 H765
5hpj:A:A1	A_A H96 H98 H115
2vs0:B:B1	B_B D23 E70
2g3f:A:A1	A_A H80 H82 H249 D324
5w3x:D:D1	D_D C1235 C1243 H1267 H1269
7ev5:A:A1_A2	A_A H54 H56 H131 D150:A_A D58 H59 D150 H191
8rsj:A:A1	A_A C107 H112 C114
2r2d:A:A1_A2	A_A H116 D213 H259:A_A H111 H113 H191 D213
4rnz:A:A1	A_A E74 H259 D263 H341
3ea6:A:A1	A_A H169 H208 D210
6khu:A:A1	A_A E116 H155
3mit:B:B1	B_B D41 H54
1wpp:A:A1_A2	A_A H9 D13 D77:A_A D15 D77 H99 D151
5z2v:B:B1	B_B C57 C60 C69 C72
2o1q:A:A1	A_A H59 H61 H101
2pq3:A:A1_A2	A_A D64 E67:A_A D22 D24
8svc:A:A1	A_A H58 H123 H189 E264
6dex:B:B1	B_B C100 C102 C154 H156
5dk5:A:A1	A_A C210 C260 C263 C270
1a6f:A:A1	A_A Q38 E40
2xcm:E:E1_E2	E_E C159 C164 C178 H218:E_E H181 C196 C197 C213
6ryo:A:A1	A_A H0 H2
4he2:A:A1	A_A E97 D118 E280
2yr2:B:B1	B_B D85 E87
3ls9:A:A1	A_A H63 H65 H238
6fju:A:A1	A_A H83 H85 D96
1udv:A:A1	A_A K14 D18 D22
3vgl:A:A1	A_A H157 C167 C169 C174
4i2f:A:A1	A_A D343 D345 D434
7o4l:A:A1_A2	A_A C107 C148:A_A C67 C77 H80
6kf9:G:G1	G_G C117 C137
5l2l:F:F1_F2_F3	F_F C415 C421 C426 H430:F_F C437 C443 C448 H452:F_F C458 C464 C469 H473
4d52:B:B1	B_B C244 D246 H252
4pxy:A:A1_A2	A_A H48 H120 E178 H234:A_A I240 D241
3wrn:A:A1	A_A E119 H127 H129
3lub:F:F1_F2	F_F E31 D42 H119:F_F H33 D42 E167
8qy3:A:A1	A_A D119 D121
4me3:A:A1	A_A C141 C144 C163 C166
6avs:A:A1	A_A H321 D323 H400
6wnz:A:A1	A_A H144 C149 C171 C174
7e4j:B:B1	B_B D12 H16
3ojg:A:A1	A_A H23 H25 K145 N266
5m1q:A:A1_A2_A3	A_A D300 H427 D429:A_A E337 H341:A_A D294 D429
1r44:A:A1	A_A H116 D123 H184
4xkl:D:D1	D_D C422 C425 H440 H444
7m10:A:A1_A2	A_A C23 C26 C50 C53:A_A C8 C10 H31 C34
6lac:A:A1	A_A C34 D36 H89 C92
7q3z:A:A1	A_A H266 C268 C302 C303
2agz:H:H1	H_H H114 D121
6ghs:A:A1	A_A C210 C213 C250 D253
7weg:A:A1	A_A E906 E916
7wi1:A:A1	A_A D95 H96 D210 H279
1rtq:A:A1_A2	A_A D117 E152 H256:A_A H97 D117 D179
1cpr:A:A1	A_A D32 E34
2pdo:B:B2	B_B E9 E12 E13
5m0t:A:A1	A_A E36 D199
7fh9:A:A1	A_A H67 C95 C98
1w5q:A:A1	A_A C129 C131 C139
8eip:B:B1	B_B H50 E53 H179
7stw:A:A1	A_A E30 D63 H66 E148
3bvo:A:A1	A_A C41 C44 C58 C61
2ux1:G:G1_G2	G_G H40 H44:G_G D74 E78
6g85:A:A1	A_A E193 H195 H206 H238
3kao:A:A1_A2	A_A H39 Q286 E290:A_A E163 K205
3ohr:A:A1	A_A H153 C168 H171 C174
5dag:A:A1_A2_A3_A4_A5	A_A C25 C28 H52 C55:A_A C157 C162 C194 H197:A_A C137 C140 H167 C170:A_A C82 C85 H102 C105:A_A C42 C47 C68 C71
2ein:B:B1	B_B H22 H26
1tbf:A:A1	A_A H617 H653 D654 D764
4pe3:A:A1_A2	A_A E173 D231 Y232:A_A E321 E322
1gkp:A:A1_A2	A_A K150 H183 H239:A_A H59 H61 K150 D315
5xkr:A:A1	A_A H56 C86 C89
7kil:A:A1	A_A H476 P548
5ju7:A:A1_A2_A3_A4	A_A E30 E74:A_A E30 E74:A_A H43 E46:A_A H43 E46
3rcc:N:N1_N2_N3	N_N H66 E93:N_N E168 H196:N_N E135 E191
1u2w:B:A1_B1	B_A H114 E117:B_B D101 H103
3l1e:A:A1	A_A H100 E102
2hba:A:A1	A_A M1 D23
