2yjg:A:A1	A_A V125 E126 E128
3ijl:A:A1	A_A D224 E251 D276
5ugr:A:A1	A_A D45 E140 D167
1nd4:A:A1	A_A N195 D208
8uwv:A:A1	A_A H284 C289 E321 H344
1fx4:A:A1	A_A D894 D937
6x1z:A:A1	A_A D58 N93 H180
3gxy:A:A1	A_A S38 Q50
7sgl:D:D1_D2	D_D H35 D37 H38 D136:D_D H33 H35 H115 D136
3da3:A:A1	A_A S47 N49
5np9:A:A1	A_A T42 E106
2ici:A:A1	A_A H179 H217 D219
4lsb:B:B1	B_B S50 E89
8cgv:v:v1	v_v K72 G73 P74 K75 R77
5xn9:A:A1	A_A H72 K150 Y163
5z41:A:A1	A_A N75 H77
7b38:A:A1_A2_A3_A4	A_A D326 D392:A_A E139 H471:A_A H264 E268:A_A H471 E484
2dsy:B:B1	B_B D25 E26
4eoy:C:C1	C_C R35 L41 P42 I43 Y118
4bix:A:A1	A_A R363 Y364
9c7j:A:A1	A_A D83 D87
4xzu:M:M1	M_M Y2195 Q2222
4j7l:A:A1_A2	A_A D236 E253 L254:A_A E234 D236
4hv6:B:B1	B_B E99 E102
1t8q:B:B1	B_B E63 D65 E171
3r2u:D:D1	D_D H288 E290
4zze:A:A1_A2	A_A D315 S317:A_A N300 D302
4j6c:A:A1	A_A H6 D8
6hos:A:A1	A_A D55 H237
7bnr:B:B1	B_B E126 N127
8t19:A:A1	A_A Y13 Y14
1txu:A:A1	A_A D274 H297
3k1u:A:A1	A_A E75 H260
2ejq:B:B1	B_B L76 E77 A79
6geh:A:A1_A2_A3	A_A V92 I93 N94 K95 H96 T101:A_A L13 G33 Q35:A_A A145 R149
7yxl:B:B1	B_B V241 D242 P246 D247
2icp:A:A1	A_A I33 T37
2p51:A:A1_A2	A_A D50 D171:A_A D50 E52 D240
4q57:B:B1	B_B N122 D123
7jk2:G:G1	G_G T304 D376
1h56:A:A1	A_A D58 E68
1t0f:A:A1	A_A D114 Q130 V131
5hif:B:B1	B_B D280 R285
8aow:A:A1	A_A D36 H37
1ezw:A:A1	A_A T56 S57
3l6t:A:A1	A_A F33 E110 T146 R148
5hbr:A:A1	A_A E213 H254
8b4m:F:F1	F_F N225 S229 E233
5v3j:F:F1	F_F C477 C480
6vkz:A:A1_A2	A_A N351 T355 E359:A_A E359 F366
3chm:A:A1	A_A F42 S43 A70 R160
6lgi:A:A1	A_A D63 D65 D67 I69 D71
3wxm:A:A1	A_A S20 T71
4atb:A:A1	A_A V119 D121
3htw:A:A1	A_A R402 R403
5dk5:A:A1	A_A D15 D184
5f9k:B:B1_B2	B_B V79 D81:B_B R64 S65
3vpn:A:A1	A_A R78 V81 T156
5p9v:A:A1	A_A D141 D169 N170
8c05:A:A1	A_A D185 I186 E229
8h4p:A:A1	A_A N243 S247 E251
6k1e:B:A1_B1	B_A Y242 D246:B_B D108 E110
6ca4:B:B1	B_B D131 E161
2j5v:A:A1	A_A K10 G12 L168
2icj:A:A1	A_A H41 H52 E147 E149
2pu3:A:A1	A_A E79 N127
1tt4:A:A1	A_A E17 H136 E237
8szd:A:A1	A_A E119 H150
6hft:A:A1	A_A N235 L343 K344 K345 D349
4e7p:A:A1	A_A D8 D53 E55
1amu:B:B1	B_B P325 E327
3fkq:A:A1	A_A S139 E162
4hjh:A:A1	A_A S104 D242 D244 D246
7uk7:A:A1_A2	A_A E116 N118:A_A D103 E116
3prn:A:A1	A_A S28 D57
8zj7:C:C1	C_C P202 H203 D239
4h2u:A:A1	A_A R159 E161
2x5f:B:B1	B_B G128 V132 N156
3b9t:A:A1_A2	A_A D341 H343 E357:A_A N314 D316 D341 H343
2wcj:A:A1_A2	A_A D31 E32:A_A N72 E75
4yn0:A:A1	A_A C150 P151 W154 S177 V179
8g1l:A:A1_A2_A3	A_A Q545 L560 S561:A_A V419 G530 N534 Y551:A_A T520 T521 N522 H529 K532
1fvu:B:B1	B_B S441 E447 E522
8jo4:A:A1	A_A N164 D165
6xne:C:C1	C_C Q4 K8
7smg:B:B1	B_B H33 H53 D110
8gps:A:A1_A2_A3	A_A D160 D181 H183:A_A D72 D225:A_A E201 D204
3e5z:A:A1	A_A E31 N118 N175 D221
8qfm:B:B1	B_B E22 H67 D69
6jtg:A:A1	A_A T40 T61
3jvv:C:C1	C_C S137 E163
6hy3:A:A1	A_A E95 G128 D318
1twy:A:A1	A_A G164 T166
4ja7:A:A1_A2	A_A D271 N303 H352 H427:A_A D242 H244 D271
3dnt:B:B1	B_B N314 D332
4ml9:A:A1	A_A H137 H139 E236
6dtq:A:A1	A_A T77 D78 D80 E308
2go7:C:C1	C_C D9 D11 D164
5d0t:M:M1	M_M T9 S10 L184 D188
8sm8:A:A1_A2	A_A A145 H147 I150:A_A D313 F314
1f2u:A:A1	A_A S37 Q140
3q4o:A:A1	A_A E28 E54 H57
8c10:A:A1	A_A G145 D182 D184 N185
6n6n:B:B1	B_B D283 P285 F483
3fes:B:B1	B_B T6 T104
3b04:D:D1	D_D H155 N157
6bda:A:A1_A2	A_A E22 G177:A_A A21 E178
2a5z:C:C1	C_C D54 F88 G89 D247
3qyy:B:B1	B_B D173 D216
6qbt:A:A1	A_A D65 D122
2jcb:A:A1	A_A D144 D173
5mil:A:A1_A2	A_A E39 E42 E67 D70:A_A E39 E42
5le5:H:H1	H_H I163 D166 S169
1mum:A:A1	A_A D58 D87
7oxy:A:A1_A2_A3	A_A E10 D94 E99:A_A E8 H155 H241:A_A E8 Y92 E99
2akz:A:A1	A_A D244 E292 D317
5d2k:A:A1	A_A E109 E111 E142
7nbb:C:C1	C_C I44 H68
7w2i:A:A1	A_A D124 D128
1t57:A:A1	A_A V122 P184 R185 P186
3h7c:X:X1	X_X D119 W120
6uj5:A:A1	A_A S109 R110
3upl:A:A1	A_A D167 E168 E232
5jcz:I:I1	I_I S25 T43
4n0n:A:A1	A_A D136 S246 D249
3vmt:A:A1_A2	A_A S98 E102 K248:A_A D111 T115 Q136
5h68:B:B1	B_B S38 Q143
6hq7:A:A1	A_A E178 E277 D306
2z4v:A:A1_A2	A_A D80 D84:A_A D80 D84
5irr:B:B1	B_B T124 T146
6hwj:A:A1_A2	A_A Q305 D317:A_A D317 D319
2c71:A:A1	A_A D488 H539
8b5v:A:A1	A_A D9 D11 D206
5x40:A:A1	A_A S45 Q88
8rdu:L:L1	L_L T67 D144 E145
1tq6:A:A1	A_A S83 D126
4jn9:A:A1	A_A S90 H91 V93 Q96
2fco:A:A1	A_A T84 T85 D86 Q118
3cin:A:A1	A_A N189 P354 P356 E359
3q7e:A:A1	A_A R59 N60 F63
3ild:A:A1	A_A H77 D79
3be7:F:F1	F_F T128 E392
4rwn:A:A1_A2	A_A D74 D76:A_A D74 D76 D147
4k8g:A:A1	A_A D210 E236 E262
7nsr:A:A1	A_A N16 D18
3vay:A:A1	A_A D8 D10 D180
7bf3:C:C1	C_C G0 H1 E120
3ppi:A:A1_A2	A_A A49 G53 A56:A_A G15 G18
2ply:B:C1	B_C R606 K607
6b5k:A:A1	A_A D108 D222
1xmv:A:A1	A_A E18 K23 I26
3ogh:B:B1	B_B E18 Q52 E107 E137
5z7w:B:B1	B_B F26 S95 V96
6z9k:B:B1	B_B H412 L438 H477
7y9g:A:A1	A_A N256 S260 E264
3q46:A:A1_A2	A_A D66 D71 D103:A_A D98 D103
3uul:A:A1	A_A L382 D384 E387
1yd1:A:A1	A_A N68 R70
3da8:A:A1	A_A N116 T117
5m4l:A:A1_A2	A_A D287 H370 E412 E452:A_A D276 D287 E452
1id0:A:A1	A_A N385 Q442
3rv0:B:B1	B_B E147 E224
7cff:A:A1	A_A S43 S47 N90 G129 E130
6lcd:A:A1	A_A S311 E315
1m3u:A:A1	A_A D45 D84
3zfd:A:A1	A_A T95 S211
5dxn:A:A1	A_A D24 D26 D215
2hxt:A:A1	A_A D248 E274 E301
